   BENCHMARK INFORMATION
benchmark:          draft
date:               Wed, 2016-04-27 12:17:28 ART
tool:               CPAchecker 1.5-svn 1106192+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



generate-explicit.original
Run set 1 of 6: skipped 


generate-predicate.original
Run set 2 of 6: skipped 


produce-witnesses-unexplored-predicate-from-explicit.original
Run set 3 of 6 with options '-heap 12000M -config test-configs/components/predicateAnalysis-generate-and-use-cmc-condition-print-specified-calls.properties -setprop limits.time.cpu=900s -setprop specification=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
systemc/pipeline_BUG.c            false(reach)                 70.69       70.72        None   66.156s    0.179s      None
systemc/token_ring.01.BUG.c       false(reach)                 15.55       15.56        None   12.815s    0.050s      None
systemc/token_ring.01.c           ERROR                         2.48        2.49        None    1.443s      None      None
systemc/token_ring.02.BUG.c       false(reach)                 18.86       18.88        None   16.554s    0.040s      None
systemc/token_ring.02.c           ERROR                         2.43        2.44        None    1.397s      None      None
systemc/token_ring.03.BUG.c       false(reach)                 25.86       25.88        None   22.816s    0.089s      None
systemc/token_ring.03.c           ERROR                         2.69        2.71        None    1.595s      None      None
systemc/token_ring.04.BUG.c       false(reach)                 34.55       34.57        None   29.981s    0.086s      None
systemc/token_ring.04.c           ERROR                         2.79        2.80        None    1.614s      None      None
systemc/token_ring.05.BUG.c       false(reach)                 64.89       64.92        None   59.960s    0.078s      None
systemc/token_ring.05.c           ERROR                         2.77        2.78        None    1.606s      None      None
systemc/token_ring.06.BUG.c       false(reach)                131.90      131.93        None  125.651s    0.111s      None
systemc/token_ring.06.c           false(reach)                 43.78       43.83        None   41.016s    0.164s      None
systemc/token_ring.07.BUG.c       false(reach)                384.45      384.46        None  376.729s    0.153s      None
systemc/token_ring.07.c           false(reach)                 18.33       18.37        None   16.330s    0.152s      None
systemc/token_ring.08.BUG.c       unknown                     901.82      901.76        None  900.283s    0.113s      None
systemc/token_ring.08.c           false(reach)                 57.19       57.22        None   54.602s    0.165s      None
systemc/token_ring.09.BUG.c       unknown                     902.19      902.14        None  900.242s    0.138s      None
systemc/token_ring.14.BUG.c       unknown                     902.36      902.31        None  900.199s    0.140s      None
systemc/toy.c                     ERROR                         2.57        2.58        None    1.540s      None      None
systemc/toy1_BUG.c                false(reach)                 30.72       30.74        None   27.168s    0.109s      None
systemc/toy2_BUG.c                false(reach)                 28.30       28.31        None   24.308s    0.161s      None
systemc/transmitter.01.BUG.c      false(reach)                 10.11       10.14        None    8.244s    0.010s      None
systemc/transmitter.02.BUG.c      false(reach)                 13.95       13.97        None   10.614s    0.069s      None
systemc/transmitter.03.BUG.c      false(reach)                 17.85       17.86        None   15.360s    0.044s      None
systemc/transmitter.04.BUG.c      false(reach)                 18.86       18.90        None   16.584s    0.069s      None
systemc/transmitter.05.BUG.c      false(reach)                 23.05       23.07        None   20.188s    0.151s      None
systemc/transmitter.06.BUG.c      false(reach)                 30.49       30.53        None   27.472s    0.126s      None
systemc/transmitter.07.BUG.c      false(reach)                 32.10       32.12        None   28.442s    0.217s      None
systemc/transmitter.08.BUG.c      false(reach)                 43.81       43.84        None   40.244s    0.124s      None
systemc/transmitter.09.BUG.c      false(reach)                 86.10       86.14        None   81.434s    0.140s      None
systemc/transmitter.10.BUG.c      false(reach)                156.39      156.42        None  150.444s    0.116s      None
systemc/transmitter.11.BUG.c      false(reach)                324.74      324.76        None  318.601s    0.215s      None
systemc/transmitter.12.BUG.c      false(reach)                687.60      687.57        None  681.638s    0.143s      None
systemc/transmitter.15.BUG.c      false(reach)                 37.72       37.74        None   31.786s    0.025s      None
systemc/transmitter.16.BUG.c      false(reach)                 40.82       40.86        None   33.904s    0.087s      None
drivers64/drbd.BUG.c              false(reach)                 31.83       31.85        None   28.380s    0.016s      None
drivers64/farsync.BUG.c           unknown                     921.85      922.37        None  900.580s    1.686s      None
drivers64/gigaset.BUG.c           unknown                    1007.00     1007.07        None  902.063s    0.234s      None
drivers64/i915.c                  ERROR                        24.60       24.62        None   19.964s      None      None
drivers64/iowarrior.BUG.c         false(reach)                 36.30       36.53        None   30.614s    0.024s      None
drivers64/kbtab.c                 ERROR                         3.72        3.73        None    2.630s      None      None
drivers64/keyspan_remote.BUG.c    false(reach)                 62.92       62.94        None   53.716s    0.197s      None
drivers64/lirc_imon.BUG.c         false(reach)                 33.57       33.61        None   29.466s    0.151s      None
drivers64/loop.BUG.c              false(reach)                690.98      691.14        None  677.395s    0.798s      None
drivers64/mISDN_core.BUG.c        false(reach)                381.77      381.91        None  365.508s    0.027s      None
